t_seg,v_seg,t_filt,v_filt,t_pks,v_pks,
5.000200e-06,4.000000e-02,5.000200e-06,4.036357e-02,5.621400e-06,-8.144315e-02,
5.000400e-06,0.000000e+00,5.000400e-06,3.409361e-02,5.699200e-06,1.908254e-01,
5.000600e-06,0.000000e+00,5.000600e-06,2.795369e-02,5.788200e-06,-3.316314e-01,
5.000800e-06,0.000000e+00,5.000800e-06,2.206955e-02,5.896400e-06,2.102153e-01,
5.001000e-06,-2.000000e-02,5.001000e-06,1.655871e-02,6.104200e-06,-3.642922e-01,
5.001200e-06,-2.000000e-02,5.001200e-06,1.152711e-02,6.220200e-06,-1.819790e-01,
5.001400e-06,2.000000e-02,5.001400e-06,7.065210e-03,6.298600e-06,-4.850555e-01,
5.001600e-06,4.000000e-02,5.001600e-06,3.245239e-03,6.556000e-06,5.735138e-01,
5.001800e-06,4.000000e-02,5.001800e-06,1.196487e-04,6.650000e-06,-4.203652e-01,
5.002000e-06,0.000000e+00,5.002000e-06,-2.280615e-03,6.715000e-06,9.704897e-02,
5.002200e-06,-4.000000e-02,5.002200e-06,-3.946343e-03,6.864600e-06,-4.890199e-01,
5.002400e-06,-2.000000e-02,5.002400e-06,-4.890196e-03,6.925200e-06,5.497740e-01,
5.002600e-06,-2.000000e-02,5.002600e-06,-5.146047e-03,6.963600e-06,-4.245944e-01,
5.002800e-06,0.000000e+00,5.002800e-06,-4.767292e-03,7.003200e-06,4.003598e-01,
5.003000e-06,0.000000e+00,5.003000e-06,-3.824662e-03,7.116000e-06,-2.149345e-01,
5.003200e-06,0.000000e+00,5.003200e-06,-2.403116e-03,7.175200e-06,4.743931e-01,
5.003400e-06,2.000000e-02,5.003400e-06,-5.989402e-04,7.207000e-06,-4.293251e-01,
5.003600e-06,0.000000e+00,5.003600e-06,1.483779e-03,7.237200e-06,5.891443e-01,
5.003800e-06,2.000000e-02,5.003800e-06,3.737505e-03,7.266800e-06,-4.255594e-01,
5.004000e-06,0.000000e+00,5.004000e-06,6.054544e-03,7.297400e-06,4.212136e-01,
5.004200e-06,-2.000000e-02,5.004200e-06,8.331114e-03,7.339600e-06,-3.233377e-01,
5.004400e-06,0.000000e+00,5.004400e-06,1.047061e-02,7.441400e-06,4.048944e-01,
5.004600e-06,4.000000e-02,5.004600e-06,1.238653e-02,7.486200e-06,-4.716342e-01,
5.004800e-06,4.000000e-02,5.004800e-06,1.400515e-02,7.518400e-06,5.631627e-01,
5.005000e-06,4.000000e-02,5.005000e-06,1.526800e-02,7.549200e-06,-4.312249e-01,
5.005200e-06,2.000000e-02,5.005200e-06,1.613332e-02,7.576800e-06,3.896599e-01,
5.005400e-06,0.000000e+00,5.005400e-06,1.657687e-02,7.602800e-06,-2.771256e-01,
5.005600e-06,-2.000000e-02,5.005600e-06,1.659222e-02,7.629800e-06,1.242524e-01,
