t_seg,v_seg,t_filt,v_filt,t_pks,v_pks,
6.000200e-06,-2.000000e-02,6.000200e-06,-2.106951e-02,6.114200e-06,1.602741e-02,
6.000400e-06,0.000000e+00,6.000400e-06,-1.894822e-02,6.219400e-06,-6.990823e-03,
6.000600e-06,0.000000e+00,6.000600e-06,-1.683635e-02,6.610400e-06,4.338853e-02,
6.000800e-06,4.000000e-02,6.000800e-06,-1.474294e-02,7.138600e-06,-5.117819e-02,
6.001000e-06,4.000000e-02,6.001000e-06,-1.267757e-02,7.458400e-06,1.107272e-01,
6.001200e-06,6.000000e-02,6.001200e-06,-1.064948e-02,7.813000e-06,-8.341842e-02,
6.001400e-06,2.000000e-02,6.001400e-06,-8.667595e-03,7.875600e-06,-5.888863e-02,
6.001600e-06,0.000000e+00,6.001600e-06,-6.739981e-03,7.942600e-06,-8.264101e-02,
6.001800e-06,-2.000000e-02,6.001800e-06,-4.874166e-03,8.050000e-06,-3.055415e-02,
6.002000e-06,0.000000e+00,6.002000e-06,-3.076670e-03,8.087800e-06,-5.827067e-02,
6.002200e-06,2.000000e-02,6.002200e-06,-1.354006e-03,8.273800e-06,2.894250e-01,
6.002400e-06,0.000000e+00,6.002400e-06,2.875411e-04,8.433800e-06,-2.121483e-01,
6.002600e-06,2.000000e-02,6.002600e-06,1.842765e-03,8.544200e-06,3.507566e-01,
6.002800e-06,2.000000e-02,6.002800e-06,3.306353e-03,8.637200e-06,-2.064100e-01,
6.003000e-06,2.000000e-02,6.003000e-06,4.673969e-03,8.719200e-06,2.788997e-01,
6.003200e-06,-2.000000e-02,6.003200e-06,5.942284e-03,8.807600e-06,-2.893714e-01,
6.003400e-06,-4.000000e-02,6.003400e-06,7.109510e-03,8.885400e-06,3.342333e-01,
6.003600e-06,-2.000000e-02,6.003600e-06,8.174500e-03,8.941200e-06,-1.547495e-01,
6.003800e-06,0.000000e+00,6.003800e-06,9.136424e-03,8.992400e-06,2.144181e-01,
6.004000e-06,6.000000e-02,6.004000e-06,9.995018e-03,9.043000e-06,-1.266783e-01,
6.004200e-06,4.000000e-02,6.004200e-06,1.074978e-02,9.073000e-06,5.114279e-02,
6.004400e-06,2.000000e-02,6.004400e-06,1.140203e-02,9.107400e-06,1.746507e-03,
6.004600e-06,2.000000e-02,6.004600e-06,1.195370e-02,9.128800e-06,5.989996e-02,
6.004800e-06,-2.000000e-02,6.004800e-06,1.240756e-02,9.212800e-06,-6.675836e-02,
6.005000e-06,-2.000000e-02,6.005000e-06,1.276782e-02,9.277200e-06,7.852177e-02,
6.005200e-06,0.000000e+00,6.005200e-06,1.303861e-02,9.317000e-06,-1.062860e-01,
6.005400e-06,2.000000e-02,6.005400e-06,1.322455e-02,9.356400e-06,7.638937e-02,
6.005600e-06,6.000000e-02,6.005600e-06,1.333045e-02,9.399200e-06,-1.350389e-01,
6.005800e-06,6.000000e-02,6.005800e-06,1.336093e-02,9.436800e-06,1.048908e-01,
6.006000e-06,4.000000e-02,6.006000e-06,1.332187e-02,9.477600e-06,-1.760669e-01,
