t_seg,v_seg,t_filt,v_filt,t_pks,v_pks,
1.000100e-06,-2.060000e-01,1.000100e-06,-1.837043e-01,1.693900e-06,-9.211073e-02,
1.000200e-06,-2.100000e-01,1.000200e-06,-1.838089e-01,1.713400e-06,-1.769513e-01,
1.000300e-06,-2.160000e-01,1.000300e-06,-1.839131e-01,1.758300e-06,-7.530928e-02,
1.000400e-06,-2.200000e-01,1.000400e-06,-1.840166e-01,1.827700e-06,-1.658436e-01,
1.000500e-06,-2.200000e-01,1.000500e-06,-1.841189e-01,1.869300e-06,-1.456371e-01,
1.000600e-06,-2.200000e-01,1.000600e-06,-1.842197e-01,1.904000e-06,-1.618269e-01,
1.000700e-06,-2.160000e-01,1.000700e-06,-1.843189e-01,1.951900e-06,-1.415022e-01,
1.000800e-06,-2.100000e-01,1.000800e-06,-1.844163e-01,1.974100e-06,-1.865122e-01,
1.000900e-06,-2.020000e-01,1.000900e-06,-1.845117e-01,2.052100e-06,-3.984625e-02,
1.001000e-06,-1.960000e-01,1.001000e-06,-1.846050e-01,2.132300e-06,-1.489686e-01,
1.001100e-06,-1.940000e-01,1.001100e-06,-1.846960e-01,2.175000e-06,-6.627100e-02,
1.001200e-06,-1.960000e-01,1.001200e-06,-1.847845e-01,2.251700e-06,-1.194636e-01,
1.001300e-06,-2.040000e-01,1.001300e-06,-1.848703e-01,2.324000e-06,-8.929188e-03,
1.001400e-06,-2.120000e-01,1.001400e-06,-1.849532e-01,2.373900e-06,-1.557227e-01,
1.001500e-06,-2.180000e-01,1.001500e-06,-1.850327e-01,2.425700e-06,-2.480823e-02,
1.001600e-06,-2.200000e-01,1.001600e-06,-1.851086e-01,2.462400e-06,-1.134194e-01,
1.001700e-06,-2.180000e-01,1.001700e-06,-1.851808e-01,2.529500e-06,-4.916984e-02,
1.001800e-06,-2.140000e-01,1.001800e-06,-1.852490e-01,2.550200e-06,-6.222780e-02,
1.001900e-06,-2.120000e-01,1.001900e-06,-1.853132e-01,2.605700e-06,-6.230783e-03,
1.002000e-06,-2.120000e-01,1.002000e-06,-1.853731e-01,2.642900e-06,-8.644326e-02,
1.002100e-06,-2.120000e-01,1.002100e-06,-1.854288e-01,2.669500e-06,2.215406e-02,
1.002200e-06,-2.100000e-01,1.002200e-06,-1.854802e-01,2.693600e-06,-7.759241e-02,
1.002300e-06,-2.100000e-01,1.002300e-06,-1.855272e-01,2.712500e-06,-2.437270e-02,
1.002400e-06,-2.100000e-01,1.002400e-06,-1.855698e-01,2.751200e-06,-4.287957e-02,
1.002500e-06,-2.100000e-01,1.002500e-06,-1.856080e-01,2.767600e-06,-1.069621e-02,
1.002600e-06,-2.100000e-01,1.002600e-06,-1.856418e-01,2.787100e-06,-4.995304e-02,
1.002700e-06,-2.080000e-01,1.002700e-06,-1.856710e-01,2.817500e-06,6.779785e-03,
1.002800e-06,-2.040000e-01,1.002800e-06,-1.856957e-01,2.861200e-06,-5.341082e-02,
1.002900e-06,-2.000000e-01,1.002900e-06,-1.857160e-01,2.914900e-06,4.523414e-02,
1.003000e-06,-1.960000e-01,1.003000e-06,-1.857320e-01,2.952400e-06,-4.922329e-02,
1.003100e-06,-1.940000e-01,1.003100e-06,-1.857436e-01,2.996200e-06,3.312993e-02,
1.003200e-06,-1.940000e-01,1.003200e-06,-1.857509e-01,3.015200e-06,-5.548905e-02,
1.003300e-06,-1.960000e-01,1.003300e-06,-1.857540e-01,3.042500e-06,2.610603e-02,
1.003400e-06,-2.020000e-01,1.003400e-06,-1.857528e-01,3.055800e-06,5.871299e-03,
1.003500e-06,-2.080000e-01,1.003500e-06,-1.857475e-01,3.090100e-06,8.670472e-02,
1.003600e-06,-2.140000e-01,1.003600e-06,-1.857380e-01,3.129900e-06,-7.652976e-02,
1.003700e-06,-2.180000e-01,1.003700e-06,-1.857244e-01,3.163400e-06,4.490769e-02,
1.003800e-06,-2.180000e-01,1.003800e-06,-1.857067e-01,3.187700e-06,-1.291398e-02,
1.003900e-06,-2.140000e-01,1.003900e-06,-1.856850e-01,3.232500e-06,6.151609e-02,
1.004000e-06,-2.080000e-01,1.004000e-06,-1.856596e-01,3.265500e-06,-2.383323e-02,
1.004100e-06,-2.020000e-01,1.004100e-06,-1.856306e-01,3.301000e-06,9.381113e-02,
1.004200e-06,-1.980000e-01,1.004200e-06,-1.855984e-01,3.340900e-06,-3.112124e-02,
1.004300e-06,-1.960000e-01,1.004300e-06,-1.855632e-01,3.381500e-06,1.018941e-01,
1.004400e-06,-1.980000e-01,1.004400e-06,-1.855253e-01,3.443000e-06,-2.749420e-02,
1.004500e-06,-2.000000e-01,1.004500e-06,-1.854848e-01,3.473500e-06,1.196703e-01,
1.004600e-06,-2.020000e-01,1.004600e-06,-1.854420e-01,3.526900e-06,6.596648e-03,
1.004700e-06,-2.060000e-01,1.004700e-06,-1.853970e-01,3.582900e-06,1.263015e-01,
1.004800e-06,-2.100000e-01,1.004800e-06,-1.853498e-01,3.622400e-06,-1.281789e-02,
1.004900e-06,-2.140000e-01,1.004900e-06,-1.853007e-01,3.678300e-06,8.870512e-02,
1.005000e-06,-2.160000e-01,1.005000e-06,-1.852497e-01,3.735000e-06,-2.183905e-03,
1.005100e-06,-2.200000e-01,1.005100e-06,-1.851971e-01,3.818300e-06,7.952390e-02,
1.005200e-06,-2.220000e-01,1.005200e-06,-1.851429e-01,3.888600e-06,3.016502e-02,
1.005300e-06,-2.240000e-01,1.005300e-06,-1.850874e-01,3.953800e-06,8.073926e-02,
1.005400e-06,-2.240000e-01,1.005400e-06,-1.850308e-01,3.998100e-06,7.036181e-02,
1.005500e-06,-2.200000e-01,1.005500e-06,-1.849733e-01,4.022400e-06,8.355283e-02,
1.005600e-06,-2.160000e-01,1.005600e-06,-1.849153e-01,4.063000e-06,4.777695e-02,
